global_idx|puzzle|status|n_steps|empty_remaining|wrong_placements|technique_counts
12192|980700000600050900005000076400030090008600700000004002030010000009800500000002010|SOLVED_CLEAN|57|0|0|{'LZWing': 1, 'DeepResonance': 2, 'D2B': 2, 'FPCE': 1, 'crossHatch': 38, 'lastRemaining': 8, 'nakedSingle': 8}
12193|980700000600080700007005000400300020008040600000001004009060500000200010000004003|SOLVED_CLEAN|58|0|0|{'LZWing': 3, 'DeepResonance': 1, 'D2B': 2, 'KrakenFish': 1, 'crossHatch': 26, 'FPC': 4, 'ALS_XYWing': 1, 'nakedSingle': 16, 'ALS_XZ': 1, 'lastRemaining': 9, 'fullHouse': 1}
12194|980700000600050800005000070400000000008900600000034020010002080009500700000010003|SOLVED_CLEAN|58|0|0|{'LZWing': 5, 'DeepResonance': 5, 'ALS_XYWing': 9, 'KrakenFish': 3, 'crossHatch': 26, 'nakedSingle': 26, 'FPC': 5, 'ALS_XZ': 6, 'SimpleColoring': 3, 'Swordfish': 1, 'lastRemaining': 1}
12195|000000001002003040040050600000070005008600000400002030080009020200700000903000100|SOLVED_CLEAN|59|0|0|{'LZWing': 1, 'DeepResonance': 3, 'FPC': 2, 'FPCE': 1, 'nakedSingle': 5, 'crossHatch': 25, 'lastRemaining': 19, 'fullHouse': 7}
12196|000000001000002034003010500004050010020600700800009000005040007060000000900800050|SOLVED_CLEAN|59|0|0|{'LZWing': 2, 'DeepResonance': 2, 'FPF': 1, 'crossHatch': 29, 'FPCE': 1, 'ALS_XZ': 5, 'ALS_XYWing': 2, 'nakedSingle': 13, 'lastRemaining': 12, 'FPC': 2, 'KrakenFish': 1, 'fullHouse': 1}
12197|000000001001002030040050600000007020050040800700300000009600400060000008405080000|SOLVED_CLEAN|59|0|0|{'LZWing': 1, 'KrakenFish': 1, 'DeepResonance': 2, 'FPC': 2, 'ALS_XZ': 1, 'nakedSingle': 14, 'crossHatch': 28, 'lastRemaining': 14, 'fullHouse': 1}
12198|000000001000002030004050600000300007005060800010007020006000008040006900950080000|SOLVED_CLEAN|59|0|0|{'LZWing': 1, 'DeepResonance': 8, 'FPC': 2, 'crossHatch': 29, 'Swordfish': 1, 'ALS_XZ': 2, 'ALS_XYWing': 2, 'nakedSingle': 12, 'SimpleColoring': 1, 'lastRemaining': 15, 'fullHouse': 1}
12199|000000001000001020013040500000064005046700100500000070007030008035006700900070000|SOLVED_CLEAN|56|0|0|{'LZWing': 1, 'DeepResonance': 2, 'FPCE': 1, 'nakedSingle': 12, 'crossHatch': 23, 'lastRemaining': 16, 'fullHouse': 4}
12200|980700600705000000000080000670004800050670030002000000490060700000900040000400001|SOLVED_CLEAN|57|0|0|{'ALS_XZ': 1, 'DeepResonance': 5, 'AlignedPairExcl': 1, 'FPC': 1, 'FPCE': 1, 'crossHatch': 14, 'LZWing': 3, 'SimpleColoring': 2, 'XWing': 2, 'nakedSingle': 16, 'lastRemaining': 21, 'fullHouse': 4}
12201|980700600500900400007080090400000000050300064003009500300600700070002000005000010|SOLVED_CLEAN|56|0|0|{'LZWing': 1, 'DeepResonance': 1, 'D2B': 1, 'ALS_XZ': 1, 'crossHatch': 23, 'lastRemaining': 12, 'nakedSingle': 17, 'fullHouse': 3}
