global_idx|puzzle|status|n_steps|empty_remaining|wrong_placements|technique_counts
36574|980700000700000800065000000400050030008900700000002001009400600000030002000001050|SOLVED_CLEAN|59|0|0|{'FPF': 1, 'ALS_XZ': 5, 'ALS_XYWing': 5, 'FPC': 2, 'nakedSingle': 11, 'crossHatch': 32, 'lastRemaining': 7, 'SimpleColoring': 1, 'LZWing': 4, 'Swordfish': 1, 'XCycle': 1, 'fullHouse': 5}
36575|980700600750060080006000000400300000005090700000500002009050803008170900000009010|SOLVED_CLEAN|55|0|0|{'DeepResonance': 2, 'D2B': 1, 'FPCE': 1, 'nakedSingle': 13, 'crossHatch': 34, 'lastRemaining': 4, 'fullHouse': 2}
36576|980700600750000090006090000400003002008900050000040000010002300007600080000000001|SOLVED_CLEAN|58|0|0|{'DeepResonance': 4, 'D2B': 1, 'ALS_XYWing': 9, 'FPCE': 1, 'Swordfish': 1, 'SimpleColoring': 1, 'ALS_XZ': 6, 'nakedSingle': 14, 'crossHatch': 17, 'lastRemaining': 22, 'fullHouse': 3}
36577|980700600005090040000003900300008000070900000002010050200000060046000001000060504|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'FPF': 1, 'FPC': 4, 'ALS_XZ': 4, 'nakedSingle': 12, 'crossHatch': 23, 'ALS_XYWing': 3, 'lastRemaining': 13, 'KrakenFish': 1, 'XWing': 1, 'SimpleColoring': 1, 'fullHouse': 4}
36578|980760500700008090004090000300800060045000000000030200100080070090600100000001002|SOLVED_CLEAN|56|0|0|{'FPF': 1, 'FPCE': 1, 'nakedSingle': 13, 'crossHatch': 30, 'lastRemaining': 9, 'fullHouse': 2}
36579|000000001002003000040250060004600070060080100700009006008090000056070300400500080|SOLVED_CLEAN|56|0|0|{'DeepResonance': 1, 'D2B': 1, 'FPCE': 1, 'nakedSingle': 11, 'crossHatch': 33, 'lastRemaining': 9, 'fullHouse': 1}
36580|980700000700060000006008500400030080090000200008002005001006050000300001000040602|SOLVED_CLEAN|57|0|0|{'DeepResonance': 3, 'FPCE': 1, 'crossHatch': 24, 'lastRemaining': 12, 'nakedSingle': 19, 'XWing': 1, 'SimpleColoring': 1, 'LZWing': 2, 'fullHouse': 1}
36581|980700600750040000003008070800005090030000002009010006090007030000400000000020100|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'D2B': 1, 'KrakenFish': 1, 'crossHatch': 32, 'ALS_XZ': 1, 'FPCE': 1, 'nakedSingle': 4, 'lastRemaining': 12, 'fullHouse': 7}
36582|980700600500080070007006000430200000009060800000000003090004010005070900000100002|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'FPCE': 1, 'nakedSingle': 5, 'crossHatch': 33, 'lastRemaining': 14, 'fullHouse': 4}
36583|000001002000030041005400600003600200070004080800070000009000020300900005650040900|SOLVED_CLEAN|56|0|0|{'DeepResonance': 6, 'D2B': 4, 'crossHatch': 24, 'FPC': 1, 'ALS_XYWing': 2, 'lastRemaining': 15, 'fullHouse': 1, 'nakedSingle': 11}
36584|980700000760000500005060000040006030007900600000020001008600900000010040000003002|SOLVED_CLEAN|58|0|0|{'DeepResonance': 2, 'FPF': 1, 'KrakenFish': 1, 'FPC': 1, 'crossHatch': 22, 'FPCE': 1, 'nakedSingle': 13, 'lastRemaining': 14, 'fullHouse': 6}
