global_idx|puzzle|status|n_steps|empty_remaining|wrong_placements|technique_counts
1|980700600750040000003008070500007030009400000000020100300000001090005080005200006|SOLVED_CLEAN|56|0|0|{'FPF': 1, 'crossHatch': 29, 'KrakenFish': 1, 'FPCE': 1, 'nakedSingle': 10, 'lastRemaining': 12, 'ALS_XZ': 1, 'fullHouse': 3}
2|980700600750040000003008070800009050030200100000400006070004030000800400000010002|SOLVED_CLEAN|56|0|0|{'DeepResonance': 2, 'crossHatch': 32, 'nakedSingle': 12, 'SimpleColoring': 1, 'XCycle': 1, 'LZWing': 4, 'XWing': 2, 'ALS_XZ': 1, 'lastRemaining': 7, 'fullHouse': 4}
3|980700600705000090043000007800200006007010020000004800300900060000050300000001009|SOLVED_CLEAN|56|0|0|{'DeepResonance': 2, 'FPCE': 2, 'FPC': 4, 'nakedSingle': 22, 'crossHatch': 26, 'lastRemaining': 2}
4|980700600500090070007004000400032700006500090000000301100080500020000000005400080|SOLVED_CLEAN|56|0|0|{'DeepResonance': 2, 'D2B': 2, 'crossHatch': 32, 'XCycle': 1, 'ALS_XZ': 2, 'nakedSingle': 10, 'ALS_XYWing': 2, 'XWing': 1, 'SimpleColoring': 1, 'lastRemaining': 9, 'fullHouse': 2}
5|980700600705000000040050000300800900000020010000001304200080093070000200009200060|SOLVED_CLEAN|56|0|0|{'DeepResonance': 1, 'FPCE': 1, 'nakedSingle': 14, 'crossHatch': 21, 'lastRemaining': 16, 'fullHouse': 4}
6|980700600750060000006008000500000040009080700000300002400001000007090503005870400|SOLVED_CLEAN|55|0|0|{'DeepResonance': 2, 'ALS_XZ': 3, 'nakedSingle': 24, 'SueDeCoq': 1, 'FPC': 3, 'crossHatch': 23, 'SimpleColoring': 2, 'LZWing': 2, 'ALS_XYWing': 1, 'lastRemaining': 5, 'XWing': 1}
7|980700600500080070007004000320000000009400080000010002090003100006800050000090007|SOLVED_CLEAN|57|0|0|{'DeepResonance': 1, 'D2B': 1, 'FPCE': 2, 'nakedSingle': 19, 'crossHatch': 24, 'lastRemaining': 8, 'fullHouse': 3}
8|980700600500090070007004000300000002008500060000023000010080006005900040000006100|SOLVED_CLEAN|57|0|0|{'DeepResonance': 1, 'crossHatch': 35, 'lastRemaining': 13, 'ALS_XZ': 3, 'ALS_XYWing': 5, 'XWing': 1, 'nakedSingle': 3, 'fullHouse': 6}
9|980700600500080070007004000320000000009400060000013000090040200005800090000006001|SOLVED_CLEAN|57|0|0|{'DeepResonance': 1, 'nakedSingle': 17, 'crossHatch': 27, 'KrakenFish': 2, 'FPC': 1, 'ALS_XZ': 1, 'lastRemaining': 9, 'fullHouse': 3}
10|000000001000002030004050600000300070008067400070001002005000000690084000840000900|SOLVED_CLEAN|58|0|0|{'FPF': 1, 'ForcingChain': 1, 'ALS_XZ': 1, 'FPC': 4, 'crossHatch': 25, 'LZWing': 2, 'lastRemaining': 11, 'fullHouse': 4, 'nakedSingle': 12}
11|980700600700000500004080090400030070070002000003100005300006100040090030000000002|SOLVED_CLEAN|57|0|0|{'DeepResonance': 7, 'FPF': 1, 'crossHatch': 29, 'KrakenFish': 1, 'FPCE': 1, 'nakedSingle': 10, 'lastRemaining': 13, 'fullHouse': 3}
12|980700600700050000004009070400003090090200000003000001100300002040007080000560000|SOLVED_CLEAN|57|0|0|{'DeepResonance': 1, 'FPCE': 1, 'crossHatch': 23, 'lastRemaining': 18, 'nakedSingle': 12, 'fullHouse': 3}
13|980700600700050000004008070400007030090200000003010006040009080000500002000002100|SOLVED_CLEAN|57|0|0|{'D2B': 1, 'DeepResonance': 1, 'crossHatch': 32, 'SimpleColoring': 1, 'lastRemaining': 12, 'fullHouse': 4, 'nakedSingle': 8}
14|980700600700050000004008070300007090040000702000600001090003040003200500000010000|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'LZWing': 4, 'nakedSingle': 22, 'crossHatch': 21, 'ALS_XZ': 4, 'lastRemaining': 10, 'XCycle': 1, 'fullHouse': 3}
15|980700600500000000004090080400050030003000002000006100040080090009001007000900200|SOLVED_CLEAN|58|0|0|{'DeepResonance': 1, 'nakedSingle': 16, 'FPCE': 1, 'crossHatch': 25, 'ALS_XYWing': 3, 'KrakenFish': 1, 'SimpleColoring': 1, 'LZWing': 3, 'XWing': 1, 'lastRemaining': 11, 'fullHouse': 5, 'ALS_XZ': 6}
16|980700600700800500000040000600900300030002000008000010300070000050090700000500063|SOLVED_CLEAN|58|0|0|{'DeepResonance': 4, 'FPCE': 1, 'crossHatch': 20, 'lastRemaining': 16, 'LZWing': 2, 'nakedSingle': 17, 'fullHouse': 4}
17|980760000750000600006000000060400030007080500000002001010000004008090100000301820|SOLVED_CLEAN|56|0|0|{'DeepResonance': 3, 'D2B': 1, 'ALS_XZ': 3, 'FPCE': 1, 'FPC': 5, 'crossHatch': 20, 'nakedSingle': 19, 'KrakenFish': 1, 'XCycle': 1, 'LZWing': 1, 'Swordfish': 1, 'lastRemaining': 8, 'fullHouse': 1}
18|980760500700400800006003000800079054000500008000000900200900400010020000000007020|SOLVED_CLEAN|56|0|0|{'DeepResonance': 4, 'D2B': 1, 'nakedSingle': 15, 'crossHatch': 16, 'ALS_XZ': 4, 'ALS_XYWing': 3, 'FPC': 3, 'KrakenFish': 1, 'lastRemaining': 16, 'fullHouse': 5}
19|980700600750040090003009000800000700020000001007800026400060005070100200000003000|SOLVED_CLEAN|56|0|0|{'DeepResonance': 1, 'FPF': 1, 'ALS_XZ': 1, 'FPC': 1, 'crossHatch': 40, 'nakedSingle': 9, 'lastRemaining': 5}
20|980760500700400800006003000800079054000500008000000900207900400010020000000000020|SOLVED_CLEAN|56|0|0|{'DeepResonance': 3, 'FPCE': 1, 'crossHatch': 30, 'nakedSingle': 3, 'lastRemaining': 14, 'fullHouse': 8}
